,start_longitude,start_latitude,end_longitude,end_latitude,start_longitude_utm,start_latitude_utm,end_longitude_utm,end_latitude_utm,hour,daytype
58666,4.88772,52.36156,4.989730000000001,52.35836,120976.58349019362,486080.39593641466,127923.20073688362,485681.35755898757,23,weekday
58675,4.89963,52.35695,4.89175,52.40488,121784.39888626704,485561.9500929441,121284.04642702351,490898.4375717545,23,weekday
58646,4.86529,52.36608,4.84162,52.37937,119452.35680045997,486594.0690625843,117851.34349189603,488084.623104291,23,weekday
58672,4.9137900000000005,52.40585,4.85511,52.37102,122784.57072907082,490996.3359685915,118763.03995041293,487148.74858338904,23,weekday
58678,4.95615,52.3209,4.91899,52.34973,125610.89372733393,481526.5284381078,123098.08091154342,484749.93664222857,23,weekday
58658,4.88443,52.35474,4.88467,52.367509999999996,120747.21694864728,485323.1340370617,120773.41902046656,486743.8458497696,23,weekday
58683,4.86992,52.32584,4.83142,52.35458,119735.7509247266,482114.6134716133,117135.68559499118,485331.7045942636,23,weekday
58680,4.8203,52.37702,4.8913199999999994,52.376000000000005,116397.64661172405,487834.29888993927,121232.7954521477,487685.3492314826,23,weekday
58668,4.82726,52.35432,4.94371,52.39768,116852.0547093731,485304.9578548993,124815.01785314972,490074.4261173009,23,weekday
58691,4.883780000000001,52.36535,4.9449,52.35758,120711.13424197206,486503.9387692171,124868.78055337688,485612.2633233283,23,weekday
58693,4.898630000000001,52.36916,4.87575,52.324659999999994,121725.43340312914,486920.9286825467,120132.26227380778,481980.5044688499,23,weekday
58687,4.8788599999999995,52.35487,5.00537,52.35295,120367.85221000398,485340.2450207559,128985.45330140564,485073.6951949188,23,weekday
58676,4.88392,52.36115,4.90294,52.37535,120717.42466291081,486036.5688544,122023.56684067775,487607.67733306676,23,weekday
58695,4.89199,52.374970000000005,4.9592,52.31873,121277.6354409818,487570.4362484524,125817.41456320886,481283.85717476055,23,weekday
58706,4.8714,52.36643,4.88168,52.37688,119868.78182502872,486630.0316938701,120577.05078765485,487787.7961055778,23,weekday
58710,4.93869,52.36903,4.8659,52.3823,124453.62226906858,486888.82627372374,119506.8853888239,488398.4541481735,23,weekday
58715,4.88467,52.367509999999996,4.95925,52.318740000000005,120773.41902046656,486743.8458497696,125820.83025074542,481284.94967393833,23,weekday
58689,4.87301,52.37162,4.8608199999999995,52.3721,119982.53404749691,487206.70656737336,119152.77329895299,487266.07261564705,23,weekday
58704,4.90294,52.37535,4.8198300000000005,52.37797,122023.56684067775,487607.67733306676,116366.47082824555,487940.2488230934,23,weekday
58717,4.88928,52.371179999999995,4.87263,52.3818,121090.19866637595,487150.0137890699,119964.69837171136,488339.54759144835,23,weekday
58692,4.88509,52.38022,4.898619999999999,52.35471,120811.82206493217,488157.8006981063,121713.9141439978,485313.1849214499,23,weekday
58698,4.89009,52.38767,4.8882699999999994,52.36112,121157.94679618248,488984.36515237734,121013.71046322989,486031.1822693322,23,weekday
64352,4.85738,52.38261,4.87101,52.38089,118927.05878368035,488437.15279658494,119853.67915210238,488239.0826278386,23,weekday
64360,4.89498,52.3802,4.95064,52.34049,121485.19421743177,488150.95560462086,125248.35281975279,483708.4091780079,23,weekday
64364,4.89278,52.35772,4.91982,52.41338,121318.33763907317,485650.7836015812,123200.30734896254,491831.49067339965,23,weekday
64355,4.91694,52.33328,4.85467,52.34041,122946.53108241184,482920.5720992105,118708.05134316208,483743.2268937734,23,weekday
64356,4.88756,52.35461,4.82824,52.3581,120960.35413429013,485307.195329784,116922.06293595169,485725.0135653057,23,weekday
64358,4.87739,52.37578,4.89281,52.35773,120284.0717873221,487667.4531693594,121320.38889630878,485651.8822880734,23,weekday
64361,4.86986,52.37019,4.840669999999999,52.368120000000005,119766.88068474988,487049.12740060705,117777.21916987703,486833.4053550599,23,weekday
64363,4.90689,52.37273,4.92945,52.39747,122290.6110087857,487314.3777438077,123844.31933917633,490057.0963594333,23,weekday
64362,4.89548,52.36466,4.9657,52.37444,121507.5065315821,486421.696308002,126296.64279833867,487479.72109789297,23,weekday
64367,4.88855,52.38394,4.846,52.349940000000004,121050.25353708913,488570.0732624046,118125.11977438431,484807.9307845114,23,weekday
64368,4.89462,52.34981,4.83655,52.35518,121437.70146386935,484769.84256829164,117485.6832771177,485395.79427049006,23,weekday
66826,4.94152,52.36173,4.88549,52.38774,124641.36512485321,486075.41566817195,120844.85002281121,488994.311796384,23,weekday
66824,4.82728,52.35386,4.83239,52.35014,116853.02185638185,485253.76674738596,117197.98703302935,484837.19440050225,23,weekday
66837,4.89423,52.35187,4.88636,52.38043,121412.68791180101,484999.2241434224,120898.45489296167,488180.56757855834,23,weekday
66838,4.88984,52.34643,4.87458,52.37341,121109.43853098124,484395.9993956607,120090.86111730579,487405.1097483435,23,weekday
66831,4.9284300000000005,52.39783,4.91863,52.35176,123775.15034786586,490097.5904030659,123075.01254736062,484975.9585373702,23,weekday
66844,4.8766300000000005,52.37153,4.9890300000000005,52.35868,120228.9885027039,487194.9499229499,127875.7111527996,485717.2235550784,23,weekday
66833,4.92736,52.355090000000004,4.93543,52.364259999999994,123672.15145953503,485342.6546709013,124228.29150619755,486359.47967096104,23,weekday
66848,4.9026,52.37235,4.9074,52.34641,121998.18246589402,487274.0426230448,122305.95553757518,484385.7088877687,23,weekday
66846,4.84721,52.39025,4.88456,52.38017,118240.98072085138,489292.3134542373,120775.69701407813,488152.4877091588,23,weekday
66843,4.887580000000001,52.37989,4.83324,52.35926,120981.10723167835,488119.9120550571,117263.65633082725,485851.46264591627,23,weekday
66841,4.93996,52.376979999999996,4.96939,52.372479999999996,124545.574341417,487772.8357756167,126546.66313997807,487260.18945593055,23,weekday
68927,4.931719999999999,52.37506,4.8476099999999995,52.374829999999996,123983.14650533955,487562.7045454782,118255.43403826148,487576.43612490065,23,weekday
68922,4.87127,52.36658,4.93567,52.374309999999994,119860.04649438185,486646.78413222387,124251.60502289966,487477.57381338143,23,weekday
68926,4.9298,52.3533,4.98842,52.35902,123837.12319006432,485142.4422688622,127834.3653627407,485755.2815455081,23,weekday
68934,4.95782,52.31824,4.9421800000000005,52.365629999999996,125722.99997273835,481229.8949957313,124688.98622751862,486509.0659174097,23,weekday
68935,4.91414,52.35032,4.91771,52.33915,122768.05638046325,484817.72727442114,123003.24414561874,483573.3423647481,23,weekday
68933,4.90935,52.35523,4.92117,52.37202,122445.29754032983,485366.16808162635,123262.56103174834,487229.03163888416,23,weekday
68955,4.92357,52.37341,4.884180000000001,52.32663,123426.99143978319,487382.63930932013,120708.48123876704,482195.66938276566,23,weekday
68929,4.88532,52.353809999999996,4.908930000000001,52.34932,120807.13329696043,485219.2396022884,122412.3456285773,484708.79412801267,23,weekday
68930,4.8751,52.378479999999996,4.870419999999999,52.37472,120130.25838210058,487968.96281185583,119808.61252998862,487552.87617878173,23,weekday
68942,4.83119,52.364090000000004,4.88891,52.35058,117128.13402022247,486389.92907474557,121049.24301163883,484858.17396873713,23,weekday
68946,4.88451,52.36600000000001,4.96161,52.31754,120761.35653782696,486575.91449566936,125980.95695286414,481150.4877043707,23,weekday
68952,4.92039,52.34891,4.86528,52.36078,123192.88183945195,484658.0859548756,119447.42904564549,486004.381947043,23,weekday
68965,4.8729,52.36226,4.8931,52.35058,119967.65254137828,486165.3400789688,121334.72117898586,484856.21963741106,23,weekday
68948,4.86755,52.36071,4.93692,52.36907,119601.99978591275,485995.4824652351,124333.10392423563,486894.0242724087,23,weekday
68970,4.85848,52.32739,4.89123,52.40713,118957.13162160858,482292.6957018512,121250.37419264988,491149.0232395005,23,weekday
68963,4.90059,52.36128,4.85734,52.346470000000004,121853.0319707358,486043.2785656036,118894.93710603187,484416.1420124249,23,weekday
71141,4.899859999999999,52.36534,4.88858,52.3524,121806.34418698555,486495.34005187725,121028.15210355449,485060.8264423357,23,weekday
71139,4.87063,52.36959,4.8322199999999995,52.3605,119818.84415217637,486981.99563712196,117195.23081845506,485989.9594768823,23,weekday
71154,4.922,52.34998,4.91064,52.36163,123303.34472391452,484776.43183427805,122537.86234831765,486077.6718314809,23,weekday
71158,4.87999,52.3664,4.88817,52.40461,120453.81309357926,486622.56456508645,121040.22118760305,490870.06825226033,23,weekday
71151,4.8680699999999995,52.36188,4.92505,52.358740000000004,119638.353356556,486125.4058863471,123517.36882313245,485749.7653040388,23,weekday
71132,4.91095,52.34776,4.94549,52.377179999999996,122548.838366415,484534.31815544056,124922.2636664754,487792.7790396105,23,weekday
71155,4.92821,52.365120000000005,5.00284,52.352740000000004,123737.12607591797,486458.2558074126,128812.96044306166,485051.2408578166,23,weekday
71157,4.887230000000001,52.349740000000004,4.8364199999999995,52.35515,120934.13455295606,484765.50168992137,117476.80154536819,485392.5236988314,23,weekday
71152,4.89688,52.34666,4.8648,52.34389,121589.31440241405,484418.3214984174,119401.18804666362,484125.39566777897,23,weekday
71159,4.87374,52.391870000000004,4.94953,52.355109999999996,120048.21205468744,489459.43233347527,125182.52922208473,485335.5288714004,23,weekday
71166,4.88015,52.36642,4.86006,52.37487,120464.72608162943,486624.7135670398,119103.25912429125,487574.6468564497,23,weekday
